City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
474,Maridi,SS,70.52,4.9158,29.4742,
477,Yanam,IN,79.34,16.7333,82.2167,The Regency Hotel
479,Bosaso,SO,70.38,11.2842,49.1816,Red Sea Hotel
482,Turan,VN,76.98,16.0678,108.2208,Grand Mercure Danang
486,Fare,PF,82.11,-16.7,-151.0167,Maitai Lapita Village Huahine
487,Caraballeda,VE,82.47,10.6112,-66.8522,Ole Caribe
490,Umkomaas,ZA,75.67,-30.2067,30.7978,The Norwegian Lodge
491,Parit Buntar,MY,86.02,5.1267,100.4932,K Garden Hotel Parit Buntar
495,Huarmey,PE,74.66,-10.0681,-78.1522,Hotel Miramar
502,Launceston,AU,78.44,-41.45,147.1667,Hotel Grand Chancellor Launceston
503,Sechura,PE,78.44,-5.5569,-80.8222,Hospedaje Costa Bella
504,Pareora,NZ,72.18,-44.4871,171.2132,"Kingsdown Suite, Timaru"
506,Kanchanaburi,TH,81.9,14.6333,99.1,แพบุญศรี
510,Sitio Novo Do Tocantins,BR,71.42,-5.5183,-47.4611,Imperial Hotel
514,Buala,SB,82.69,-8.145,159.5921,Maringe Lagoon Lodge
520,Samarai,PG,84.47,-10.6167,150.6667,Nuli Sapi
522,Ibra,OM,71.06,22.6906,58.5334,مزرعة راحة النفوس المنزفة
527,Marigot,MF,76.78,18.0667,-63.0833,Hilton Vacation Club Royal Palm St. Maarten
528,Sao Joao Da Barra,BR,74.79,-21.6403,-41.0511,Pousada Porto De Canoas
529,Mecca,SA,71.91,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
530,Cartagena,CO,76.62,10.3997,-75.5144,Hotel Colombia Real - Cartagena
533,Inhambane,MZ,79.56,-23.865,35.3833,Oceano
534,Biak,ID,81.45,-0.9131,122.8766,Penginapan Kim
540,Curup,ID,82.96,-3.4667,102.5333,Ayi The Costel
541,Marsh Harbour,BS,74.55,26.5412,-77.0636,Abaco Beach Resort
542,Santa Rosa,PH,85.08,14.3122,121.1114,Erlyn’s Sta Rosa City Home
545,Pedernales,DO,74.75,18.0384,-71.744,Hotel Costa Marina
548,Kupang,ID,88.38,-10.1667,123.5833,Hotel On The Rock by Prasanthi
550,Beloha,MG,79.86,-25.1667,45.05,
